,Unnamed: 0,Datetime,TweetId,Text,EncodedText,Username,Tweet,Language,Drug,IsValid,CleanText,AbsText,WordCount,AbsCount
16237,16237,2020-09-25 05:57:31+00:00,1309371434268086274,"#Cipla has received final approval for its ANDA  for Dimethyl Fumarate DR capsules 120mg, 240mg from USFDA- https://t.co/ui62YFXTPW","b'#Cipla has received final approval for its ANDA  for Dimethyl Fumarate DR capsules 120mg, 240mg from USFDA- https://t.co/ui62YFXTPW'",analystmohalla,https://twitter.com/analystmohalla/status/1309371434268086274,en,dimethyl fumarate,,Cipla has received final approval for its ANDA for Dimethyl Fumarate DR capsules mg mg from USFDA,has received final approval for its ANDA for Dimethyl Fumarate DR capsules mg mg from USFDA,17,16
58665,58665,2018-06-19 22:20:27+00:00,1009199258426380290,"And a good supper with seconds sends me back to bed.
My state of being is the crash after the steroid high. 
A weak kitty.
Yet I feel the benefits beneath the fallout of battle.
I mend.
#mswarrior 
#Ocrevus",b'And a good supper with seconds sends me back to bed.\nMy state of being is the crash after the steroid high. \nA weak kitty.\nYet I feel the benefits beneath the fallout of battle.\nI mend.\n#mswarrior \n#Ocrevus',DarlaV,https://twitter.com/DarlaV/status/1009199258426380290,en,ocrevus,,And a good supper with seconds sends me back to bed My state of being is the crash after the steroid high A weak kitty Yet I feel the benefits beneath the fallout of battle I mend mswarrior Ocrevus,And a good supper with seconds sends me back to bed My state of being is the crash after the steroid high A weak kitty Yet I feel the benefits beneath the fallout of battle I mend,39,37
22629,22629,2018-05-02 10:59:11+00:00,991633191604809728,"@flyn15179577 Ha, my kidney stones are well.  

I took my first dose of Gilenya and my pulse/blood pressure/EKG readings all worked out.

So goodbye shots, hello pill 😅","b'@flyn15179577 Ha, my kidney stones are well.  \n\nI took my first dose of Gilenya and my pulse/blood pressure/EKG readings all worked out.\n\nSo goodbye shots, hello pill \xf0\x9f\x98\x85'",mjwentink,https://twitter.com/mjwentink/status/991633191604809728,en,gilenya,,Ha my kidney stones are well I took my first dose of Gilenya and my pulseblood pressureEKG readings all worked out So goodbye shots hello pill,Ha my kidney stones are well I took my first dose of Gilenya and my pulseblood pressureEKG readings all worked out So goodbye shots hello pill,26,26
32772,32772,2021-09-10 21:03:34+00:00,1436435201362640897,"@AaronBosterMD I never had an opportunity to receive DMTs if I stayed with him, I went to a neurologist in cullman.  he diagnosed me with Tumefactive multiple sclerosis and started me on tysabri as soon as possible.  I  don't want to know what would have happened if I stayed with UAB","b""@AaronBosterMD I never had an opportunity to receive DMTs if I stayed with him, I went to a neurologist in cullman.  he diagnosed me with Tumefactive multiple sclerosis and started me on tysabri as soon as possible.  I  don't want to know what would have happened if I stayed with UAB""",DeAnnaEpler,https://twitter.com/DeAnnaEpler/status/1436435201362640897,en,tysabri,,I never had an opportunity to receive DMTs if I stayed with him I went to a neurologist in cullman he diagnosed me with Tumefactive multiple sclerosis and started me on tysabri as soon as possible I dont want to know what would have happened if I stayed with UAB,I never had an opportunity to receive DMTs if I stayed with him I went to a neurologist in cullman he diagnosed me with Tumefactive multiple sclerosis and started me on tysabri as soon as possible I dont want to know what would have happened if I stayed with UAB,50,50
13790,13790,2019-07-18 03:34:33+00:00,1151696732289490951,"@MustStopMS Tecfidera, 3 years this summer (since about 5 months after diagnosis.) It's oral, 2x a day.

I call the pills mini maracas due to the time release beads you can hear in the capsule when you shake 'em.
#FiestaTime -- or maybe #SiestaTime 🤔😅","b""@MustStopMS Tecfidera, 3 years this summer (since about 5 months after diagnosis.) It's oral, 2x a day.\n\nI call the pills mini maracas due to the time release beads you can hear in the capsule when you shake 'em.\n#FiestaTime -- or maybe #SiestaTime \xf0\x9f\xa4\x94\xf0\x9f\x98\x85""",LiteSmyelin,https://twitter.com/LiteSmyelin/status/1151696732289490951,en,tecfidera,,Tecfidera years this summer since about months after diagnosis Its oral x a day I call the pills mini maracas due to the time release beads you can hear in the capsule when you shake em FiestaTime  or maybe SiestaTime,Tecfidera years this summer since about months after diagnosis Its oral x a day I call the pills mini maracas due to the time release beads you can hear in the capsule when you shake em  or maybe,40,38
40040,40040,2021-07-26 09:28:37+00:00,1419590468778741761,Long-term natalizumab treatment in people with multiple sclerosis seems to bring brain atrophy rates in line with healthy controls https://t.co/ReURM0D7e3,b'Long-term natalizumab treatment in people with multiple sclerosis seems to bring brain atrophy rates in line with healthy controls https://t.co/ReURM0D7e3',NatRevNeurol,https://twitter.com/NatRevNeurol/status/1419590468778741761,en,natalizumab,,Longterm natalizumab treatment in people with multiple sclerosis seems to bring brain atrophy rates in line with healthy controls,Longterm natalizumab treatment in people with multiple sclerosis seems to bring brain atrophy rates in line with healthy controls,19,19
30743,30743,2019-09-30 23:42:20+00:00,1178817384049606657,"This study published in STROKE suggests that siponimod (mayzent, FDA approved for MS) may be effective for reducing swelling and increasing survival after a brain hemorrhage https://t.co/OxrOfFI1Za","b'This study published in STROKE suggests that siponimod (mayzent, FDA approved for MS) may be effective for reducing swelling and increasing survival after a brain hemorrhage https://t.co/OxrOfFI1Za'",Brandon_Beaber,https://twitter.com/Brandon_Beaber/status/1178817384049606657,en,siponimod,,This study published in STROKE suggests that siponimod mayzent FDA approved for MS may be effective for reducing swelling and increasing survival after a brain hemorrhage,This study published in STROKE suggests that siponimod mayzent FDA approved for MS may be effective for reducing swelling and increasing survival after a brain hemorrhage,26,26
26453,26453,2019-03-19 04:06:23+00:00,1107855812301594631,"@ChelsSucksRock Lidocane , Fingolimod,  CBD, and for pain and tizanidine for my spasms. The VA is really shitty when it comes to pain management.","b'@ChelsSucksRock Lidocane , Fingolimod,  CBD, and for pain and tizanidine for my spasms. The VA is really shitty when it comes to pain management.'",xkittenmonsterx,https://twitter.com/xkittenmonsterx/status/1107855812301594631,en,fingolimod,,Lidocane  Fingolimod CBD and for pain and tizanidine for my spasms The VA is really shitty when it comes to pain management,Lidocane  Fingolimod CBD and for pain and tizanidine for my spasms The VA is really shitty when it comes to pain management,22,22
63350,63350,2020-03-31 10:37:33+00:00,1244936868094976000,join us at 12 for our Debate session: Should ocrelizumab and cladribine be treated in the same way as alemtuzumab in terms of risk of COVID-19? https://t.co/WOI2NTgr4W @ACNRjournal,b'join us at 12 for our Debate session: Should ocrelizumab and cladribine be treated in the same way as alemtuzumab in terms of risk of COVID-19? https://t.co/WOI2NTgr4W @ACNRjournal',TheNeuroAcademy,https://twitter.com/TheNeuroAcademy/status/1244936868094976000,en,ocrelizumab,,join us at for our Debate session Should ocrelizumab and cladribine be treated in the same way as alemtuzumab in terms of risk of COVID19,join us at for our Debate session Should ocrelizumab and cladribine be treated in the same way as alemtuzumab in terms of risk of COVID19,25,25
43159,43159,2022-04-08 09:57:05+00:00,1512368929573847046,@RachelHorne19 @RoyalLondonHosp Slept more than 2/3 hrs for first time in 17 days. Turns out it was a secondary infection ( #Ocrevus ). Antibiotics &amp; steroid nasal spray are now helping enormously. Just need to catch up on sleep now. But Yay!,b'@RachelHorne19 @RoyalLondonHosp Slept more than 2/3 hrs for first time in 17 days. Turns out it was a secondary infection ( #Ocrevus ). Antibiotics &amp; steroid nasal spray are now helping enormously. Just need to catch up on sleep now. But Yay!',GrumpyoldGould,https://twitter.com/GrumpyoldGould/status/1512368929573847046,en,ocrevus,,Slept more than 3 hrs for first time in days Turns out it was a secondary infection  Ocrevus  Antibiotics  steroid nasal spray are now helping enormously Just need to catch up on sleep now But Yay,Slept more than 3 hrs for first time in days Turns out it was a secondary infection   Antibiotics  steroid nasal spray are now helping enormously Just need to catch up on sleep now But Yay,36,35
36919,36919,2019-05-21 15:33:43+00:00,1130859221988155392,"Infusion time!
***
#multiplesclerosis #invisibledisease #tysabri #fingerscrossed #tuesday @ Neurology Center of New England https://t.co/3W8DU4My5d",b'Infusion time!\n***\n#multiplesclerosis #invisibledisease #tysabri #fingerscrossed #tuesday @ Neurology Center of New England https://t.co/3W8DU4My5d',alexkimmellauth,https://twitter.com/alexkimmellauth/status/1130859221988155392,en,tysabri,,Infusion time  multiplesclerosis invisibledisease tysabri fingerscrossed tuesday Neurology Center of New England,Infusion time  Neurology Center of New England,12,7
16017,16017,2021-02-10 07:30:00+00:00,1359404234353958915,Dimethyl Fumarate: Heterogeneous Catalysis for the Development of an Innovative #FlowChemistry Synthesis https://t.co/Jpi6Zk6l1M #quimica @OPRD_ACS #Cambrex #Profarmaco #Milano #FabianaDedè #OrestePiccolo #DanieleVigo #chemistry https://t.co/DJIifqfrqO,b'Dimethyl Fumarate: Heterogeneous Catalysis for the Development of an Innovative #FlowChemistry Synthesis https://t.co/Jpi6Zk6l1M #quimica @OPRD_ACS #Cambrex #Profarmaco #Milano #FabianaDed\xc3\xa8 #OrestePiccolo #DanieleVigo #chemistry https://t.co/DJIifqfrqO',vapourtec,https://twitter.com/vapourtec/status/1359404234353958915,en,dimethyl fumarate,,Dimethyl Fumarate Heterogeneous Catalysis for the Development of an Innovative FlowChemistry Synthesis quimica Cambrex Profarmaco Milano FabianaDed OrestePiccolo DanieleVigo chemistry,Dimethyl Fumarate Heterogeneous Catalysis for the Development of an Innovative Synthesis,20,11
72202,72202,2021-08-07 17:52:55+00:00,1424066035876077572,@Esfandi6 @themsguide We proposed using anti-CD20 induction with alemtuzumab to Genzyme back in 2014 to prevent 2ndary autoimmunity. But they said no. Tragic?,b'@Esfandi6 @themsguide We proposed using anti-CD20 induction with alemtuzumab to Genzyme back in 2014 to prevent 2ndary autoimmunity. But they said no. Tragic?',GavinGiovannoni,https://twitter.com/GavinGiovannoni/status/1424066035876077572,en,alemtuzumab,,We proposed using antiCD20 induction with alemtuzumab to Genzyme back in to prevent ndary autoimmunity But they said no Tragic,We proposed using antiCD20 induction with alemtuzumab to Genzyme back in to prevent ndary autoimmunity But they said no Tragic,20,20
17394,17394,2018-03-30 10:49:28+00:00,979671948027400193,"Dimethyl fumarate (DMF) vs. monoethyl fumarate (MEF) salts for the treatment of plaque psoria...

https://t.co/IKuBGtgdj1 https://t.co/1C527deH3e",b'Dimethyl fumarate (DMF) vs. monoethyl fumarate (MEF) salts for the treatment of plaque psoria...\n\nhttps://t.co/IKuBGtgdj1 https://t.co/1C527deH3e',ingentium_ms,https://twitter.com/ingentium_ms/status/979671948027400193,en,dimethyl fumarate,,Dimethyl fumarate DMF vs monoethyl fumarate MEF salts for the treatment of plaque psoria,Dimethyl fumarate DMF vs monoethyl fumarate MEF salts for the treatment of plaque psoria,14,14
49787,49787,2021-02-28 18:56:10+00:00,1366099894008770562,@notronffej I plan on getting mine as soon as it opens up to me. Having Ocrevus at end of this month and vaccine won’t be open to me until May or so. Not going to to be stressed about it,b'@notronffej I plan on getting mine as soon as it opens up to me. Having Ocrevus at end of this month and vaccine won\xe2\x80\x99t be open to me until May or so. Not going to to be stressed about it',jeanninecz,https://twitter.com/jeanninecz/status/1366099894008770562,en,ocrevus,,I plan on getting mine as soon as it opens up to me Having Ocrevus at end of this month and vaccine wont be open to me until May or so Not going to to be stressed about it,I plan on getting mine as soon as it opens up to me Having Ocrevus at end of this month and vaccine wont be open to me until May or so Not going to to be stressed about it,39,39
17919,17919,2022-01-04 17:15:00+00:00,1478414672588062728,"A divided panel of the Federal Circuit rejected Chinese generic drugmaker HEC's argument that a patent for Novartis’ multiple-sclerosis drug Gilenya lacked a proper written description, thwarting its bid to sell a generic version before the patent expires https://t.co/HZC1T8zfLY https://t.co/LlOJoZH3o6","b""A divided panel of the Federal Circuit rejected Chinese generic drugmaker HEC's argument that a patent for Novartis\xe2\x80\x99 multiple-sclerosis drug Gilenya lacked a proper written description, thwarting its bid to sell a generic version before the patent expires https://t.co/HZC1T8zfLY https://t.co/LlOJoZH3o6""",ReutersLegal,https://twitter.com/ReutersLegal/status/1478414672588062728,en,gilenya,,A divided panel of the Federal Circuit rejected Chinese generic drugmaker HECs argument that a patent for Novartis multiplesclerosis drug Gilenya lacked a proper written description thwarting its bid to sell a generic version before the patent expires,A divided panel of the Federal Circuit rejected Chinese generic drugmaker HECs argument that a patent for Novartis multiplesclerosis drug Gilenya lacked a proper written description thwarting its bid to sell a generic version before the patent expires,38,38
13580,13580,2019-09-12 14:05:14+00:00,1172149170314125312,"#Biogen, wrestling #MS rivals, touts 10 year-plus #Tecfidera data https://t.co/TXaGfyxlEV @FiercePharma @biogen #MultipleSclerosis","b'#Biogen, wrestling #MS rivals, touts 10 year-plus #Tecfidera data https://t.co/TXaGfyxlEV @FiercePharma @biogen #MultipleSclerosis'",PlexusVentures,https://twitter.com/PlexusVentures/status/1172149170314125312,en,tecfidera,,Biogen wrestling MS rivals touts yearplus Tecfidera data MultipleSclerosis, wrestling rivals touts yearplus data,9,5
56148,56148,2019-06-28 03:59:53+00:00,1144455351015636995,Had my 3rd full #ocrevus infusion today. I'm pretty sure I have an interesting system inside. Right after the 100 mg #solumedrol dose my sugar level dropped from 113 to 90. #MultipleSclerosis,"b""Had my 3rd full #ocrevus infusion today. I'm pretty sure I have an interesting system inside. Right after the 100 mg #solumedrol dose my sugar level dropped from 113 to 90. #MultipleSclerosis""",battling_ms,https://twitter.com/battling_ms/status/1144455351015636995,en,ocrevus,,Had my rd full ocrevus infusion today Im pretty sure I have an interesting system inside Right after the mg solumedrol dose my sugar level dropped from to  MultipleSclerosis,Had my rd full infusion today Im pretty sure I have an interesting system inside Right after the mg dose my sugar level dropped from to ,29,26
24435,24435,2020-10-01 07:16:44+00:00,1311565695113736193,Early evidence of disease activity during fingolimod predicts medium-term inefficacy in relapsing-remitting #multiplesclerosis https://t.co/FAD0zx6WV1,b'Early evidence of disease activity during fingolimod predicts medium-term inefficacy in relapsing-remitting #multiplesclerosis https://t.co/FAD0zx6WV1',MSJ_Research,https://twitter.com/MSJ_Research/status/1311565695113736193,en,fingolimod,,Early evidence of disease activity during fingolimod predicts mediumterm inefficacy in relapsingremitting multiplesclerosis,Early evidence of disease activity during fingolimod predicts mediumterm inefficacy in relapsingremitting,13,12
47507,47507,2021-07-28 01:03:57+00:00,1420188243874652163,@Brandon_Beaber @MZimm81 Hope you are right.  Wife is on ocrevus and doctor thinks vaccines are still pretty effective with it,b'@Brandon_Beaber @MZimm81 Hope you are right.  Wife is on ocrevus and doctor thinks vaccines are still pretty effective with it',HumanityBlues,https://twitter.com/HumanityBlues/status/1420188243874652163,en,ocrevus,,Hope you are right Wife is on ocrevus and doctor thinks vaccines are still pretty effective with it,Hope you are right Wife is on ocrevus and doctor thinks vaccines are still pretty effective with it,18,18
70683,70683,2018-10-17 12:03:13+00:00,1052530470330753026,Beginning to feel very real now #thisisreallyhappening #treatment #lemtrada #nextweek #soreal #tooreal #excited #scared #nervous #gifts #chocolate #wellwishes #onedayleftatwork #4weeksoff… https://t.co/r041YVQtN9,b'Beginning to feel very real now #thisisreallyhappening #treatment #lemtrada #nextweek #soreal #tooreal #excited #scared #nervous #gifts #chocolate #wellwishes #onedayleftatwork #4weeksoff\xe2\x80\xa6 https://t.co/r041YVQtN9',emma_pople,https://twitter.com/emma_pople/status/1052530470330753026,en,lemtrada,,Beginning to feel very real now thisisreallyhappening treatment lemtrada nextweek soreal tooreal excited scared nervous gifts chocolate wellwishes onedayleftatwork 4weeksoff,Beginning to feel very real now,20,6
35555,35555,2020-02-13 09:47:04+00:00,1227891932594155520,@paulinenufc I take tysabri And no side effects can be boring spending 2 hrs in the hospital hooked up to a drip. Been on it nearly 8 years,b'@paulinenufc I take tysabri And no side effects can be boring spending 2 hrs in the hospital hooked up to a drip. Been on it nearly 8 years',laurju,https://twitter.com/laurju/status/1227891932594155520,en,tysabri,,I take tysabri And no side effects can be boring spending hrs in the hospital hooked up to a drip Been on it nearly years,I take tysabri And no side effects can be boring spending hrs in the hospital hooked up to a drip Been on it nearly years,25,25
74457,74457,2019-02-22 15:21:45+00:00,1098966076644306947,"A retrospective analysis evaluated graft and patient outcomes among 74,627 recipients of deceased-donor renal transplants who received Basilixmab , ATG, alemtuzumab, or no antibody induction therapy, + maintenance therapy with tacrolimus &amp;mycophenolate with or without steroid","b'A retrospective analysis evaluated graft and patient outcomes among 74,627 recipients of deceased-donor renal transplants who received Basilixmab , ATG, alemtuzumab, or no antibody induction therapy, + maintenance therapy with tacrolimus &amp;mycophenolate with or without steroid'",Noufmarshdi,https://twitter.com/Noufmarshdi/status/1098966076644306947,en,alemtuzumab,,A retrospective analysis evaluated graft and patient outcomes among recipients of deceaseddonor renal transplants who received Basilixmab  ATG alemtuzumab or no antibody induction therapy  maintenance therapy with tacrolimus mycophenolate with or without steroid,A retrospective analysis evaluated graft and patient outcomes among recipients of deceaseddonor renal transplants who received Basilixmab  ATG alemtuzumab or no antibody induction therapy  maintenance therapy with tacrolimus mycophenolate with or without steroid,33,33
14522,14522,2019-01-07 17:11:29+00:00,1082323853232218112,"MS News that Caught My Eye: Stem Cell Transplant, Generic Tecfidera, Top Stories of 2018 - Multiple Sclerosis News Today https://t.co/Hm85xmKZan","b'MS News that Caught My Eye: Stem Cell Transplant, Generic Tecfidera, Top Stories of 2018 - Multiple Sclerosis News Today https://t.co/Hm85xmKZan'",IDROOhio,https://twitter.com/IDROOhio/status/1082323853232218112,en,tecfidera,,MS News that Caught My Eye Stem Cell Transplant Generic Tecfidera Top Stories of  Multiple Sclerosis News Today,MS News that Caught My Eye Stem Cell Transplant Generic Tecfidera Top Stories of  Multiple Sclerosis News Today,18,18
43209,43209,2022-04-06 13:38:36+00:00,1511699896956506119,"The ongoing joys of fitting vaccines around Ocrevus infusions. Had shingles all arranged before next infusion in July, but first dose cancelled by surgery because of staff sickness. Trying to explain via email why I now have to wait until end September. 😠","b'The ongoing joys of fitting vaccines around Ocrevus infusions. Had shingles all arranged before next infusion in July, but first dose cancelled by surgery because of staff sickness. Trying to explain via email why I now have to wait until end September. \xf0\x9f\x98\xa0'",cheryl_stuckey,https://twitter.com/cheryl_stuckey/status/1511699896956506119,en,ocrevus,,The ongoing joys of fitting vaccines around Ocrevus infusions Had shingles all arranged before next infusion in July but first dose cancelled by surgery because of staff sickness Trying to explain via email why I now have to wait until end September,The ongoing joys of fitting vaccines around Ocrevus infusions Had shingles all arranged before next infusion in July but first dose cancelled by surgery because of staff sickness Trying to explain via email why I now have to wait until end September,42,42
40193,40193,2021-04-26 22:08:00+00:00,1386804278635810819,"ICYMI: Natalizumab improves social and mental health in patients with #MS. 

Researchers compared Neuro-QoL scores between patients treated with natalizumab and ocrelizumab, another high-efficacy treatment for MS.

https://t.co/aAKnuISYry","b'ICYMI: Natalizumab improves social and mental health in patients with #MS. \n\nResearchers compared Neuro-QoL scores between patients treated with natalizumab and ocrelizumab, another high-efficacy treatment for MS.\n\nhttps://t.co/aAKnuISYry'",neurology_live,https://twitter.com/neurology_live/status/1386804278635810819,en,natalizumab,,ICYMI Natalizumab improves social and mental health in patients with MS Researchers compared NeuroQoL scores between patients treated with natalizumab and ocrelizumab another highefficacy treatment for MS,ICYMI Natalizumab improves social and mental health in patients with  Researchers compared NeuroQoL scores between patients treated with natalizumab and ocrelizumab another highefficacy treatment for MS,27,26
23530,23530,2021-09-22 16:44:01+00:00,1440718537828433920,@RachelHorne19 Likely similar outcome with Fingolimod treated pts?,b'@RachelHorne19 Likely similar outcome with Fingolimod treated pts?',SarahKe89509310,https://twitter.com/SarahKe89509310/status/1440718537828433920,en,fingolimod,,Likely similar outcome with Fingolimod treated pts,Likely similar outcome with Fingolimod treated pts,7,7
